question,answer,category,difficulty,estimated_time_to_solve,type  
"A system consists of three particles (masses and coordinates given). Find the center of mass of the system.","Use \( \vec{R}_{cm} = \frac{m_1\vec{r}_1 + m_2\vec{r}_2 + m_3\vec{r}_3}{m_1 + m_2 + m_3} \). Plug in the given masses and coordinates.","Physics (Impulse & Momentum)","Medium","10 minutes","FRQ"  
"Find the center of mass of the table shown. Each segment has length L.","If symmetric, center of mass is at \( \left(\frac{L}{2}, \frac{L}{2}\right) \). For asymmetric tables, divide into parts and compute weighted average.","Physics (Impulse & Momentum)","Medium","10 minutes","FRQ"  
"Locate the center of mass of a uniform metal plate with a removed disk.","\( \vec{R}_{cm} = \frac{M\vec{R}_{plate} - m\vec{R}_{disk}}{M - m} \), where \( M \) = original plate mass, \( m \) = removed disk mass.","Physics (Impulse & Momentum)","Hard","15 minutes","FRQ"  
"Determine the coordinates for a 3-kg particle to achieve a given center of mass for a three-particle system.","Solve \( \vec{R}_{cm} = \frac{m_1\vec{r}_1 + m_2\vec{r}_2 + 3\vec{r}_3}{m_1 + m_2 + 3} \) for the unknown \( \vec{r}_3 \).","Physics (Impulse & Momentum)","Medium","12 minutes","FRQ"  
"Two skaters on frictionless ice: (a) Fred pulls, (b) Ethel pulls, (c) both pull. Where do they meet?","(a) Closer to Fred (b) Closer to Ethel (c) Midpoint (if forces equal). Use \( \frac{m_F}{m_E} = \frac{d_E}{d_F} \) for exact positions.","Physics (Impulse & Momentum)","Hard","15 minutes","FRQ"  
"Calculate acceleration of the center of mass for three particles under external forces.","\( \vec{a}_{cm} = \frac{\vec{F}_{\text{net, external}}}{m_1 + m_2 + m_3} \). Ignore internal forces.","Physics (Impulse & Momentum)","Medium","10 minutes","FRQ"  
"A dog on a boat walks toward shore. Find the dog's final distance from shore.","\( \text{Distance} = \text{Initial distance} - \frac{m_{\text{dog}}}{m_{\text{boat}} + m_{\text{dog}}} \times \text{dog’s displacement} \).","Physics (Impulse & Momentum)","Medium","12 minutes","FRQ"  
"Truck kinetic energy change (Part A), magnitude (B), and direction (C) of momentum change.","(A) \( \Delta KE = \frac{1}{2}m(v_f^2 - v_i^2) \) (B) \( |\Delta \vec{p}| = m|v_f - v_i| \) (C) Direction of \( \vec{v}_f - \vec{v}_i \).","Physics (Impulse & Momentum)","Hard","20 minutes","FRQ"  
"Velocity of third fragment (A) and energy released (B) after an explosion.","(A) Solve \( m_1\vec{v}_1 + m_2\vec{v}_2 + m_3\vec{v}_3 = 0 \) (B) \( \Delta E = \sum \frac{1}{2}m_iv_i^2 \).","Physics (Impulse & Momentum)","Hard","18 minutes","FRQ"  
"Compare momenta of two objects with equal kinetic energies.","D. Not enough information (Momentum depends on both mass and velocity).","Physics (Impulse & Momentum)","Easy","2 minutes","MCQ"  
"Rank catching a medicine ball by speed, momentum, and kinetic energy.","B > C > A (Ranking depends on mass-speed relationship for KE and momentum).","Physics (Impulse & Momentum)","Medium","5 minutes","FRQ"  
"Crash test: Calculate impulse and average force (Example 1).","Impulse \( = m(v_f - v_i) \); Average force \( = \frac{\text{Impulse}}{\Delta t} \).","Physics (Collisions)","Medium","10 minutes","FRQ"  
"Post-collision velocity of entangled cars (Example 2).","\( v_f = \frac{m_1v_1 + m_2v_2}{m_1 + m_2} \).","Physics (Collisions)","Medium","8 minutes","FRQ"  
"Derive bullet speed using ballistic pendulum (Example 3).","\( v_{\text{bullet}} = \frac{m + M}{m} \sqrt{2gh} \).","Physics (Collisions)","Hard","15 minutes","FRQ"  
"Collision with spring: velocities (A), velocity at instant (B), spring compression (C), max compression (D).","(A) \( v_f = \frac{m_1v_1 + m_2v_2}{m_1 + m_2} \) (B) Same as (A) (C) \( x = \sqrt{\frac{mv^2}{k}} \) (D) \( x_{\text{max}} = v\sqrt{\frac{m}{k}} \).","Physics (Collisions)","Hard","25 minutes","FRQ"  
"Direction and magnitude of velocity after perfectly inelastic collision (Example 5).","\( v_f = \frac{m_1v_1 + m_2v_2}{m_1 + m_2} \); direction aligns with the initial net momentum vector.","Physics (Collisions)","Medium","15 minutes","FRQ"  